Date,Activity,Activity type,Unit,Amount executed
2025-03-27,Subbase application,Road,m2,1315.2226666535548
2025-06-06,Coat preparation,Road,L,3806.1316101182533
2025-07-03,Anchorage,Railway,m2,1949.174088511298
2025-05-23,Iron mining,Railway,m3,1482.4994010972614
2025-06-08,Pavement,Road,m2,3072.809672364193
2025-03-14,Rolling/Tractor,Road,m2,2194.8061759673546
2025-01-26,Cement making,Building,m3,2435.4135131910857
2025-06-26,Foundation pouring,Building,m3,1786.660742815982
2025-11-15,Anchorage,Railway,m2,4874.07609965083
2025-12-26,Terrain leveling,Building,m3,1507.971729306709
2025-02-26,Removing trees,Building,m2,4824.283553170238
2025-02-17,Rolling/Tractor,Road,m2,2698.6593677346623
2025-06-20,Laying steel rail,Railway,m,2006.4385913548233
2025-08-27,Foundation pouring,Building,m3,2734.0334577278636
2025-01-27,Subbase application,Road,m2,4140.867343486776
2025-11-20,Anchorage,Railway,m2,3562.309568818155
2025-05-05,Foundation pouring,Building,m3,4289.609895119502
2025-01-31,Iron mining,Railway,m3,1264.8258101644249
2025-03-29,Subbase application,Road,m2,2480.5018664712857
2025-08-29,Terrain leveling,Building,m3,3364.3699513896895
2025-01-23,Cement making,Building,m3,4337.922763444602
2025-07-12,Coat preparation,Road,L,1195.2725919904767
2025-02-02,Pavement,Road,m2,834.6795899856891
2025-10-12,Pavement,Road,m2,1363.5708367632033
2025-07-04,Anchorage,Railway,m2,1159.762965082145
2025-07-28,Walling,Building,m2,983.9834337913161
2025-12-18,Laying steel rail,Railway,m,345.4755685504302
2025-04-03,Anchorage,Railway,m2,4034.419192266027
2025-01-09,Anchorage,Railway,m2,3352.3822839516383
2025-05-20,Anchorage,Railway,m2,354.39431432712945
2025-01-04,Coat preparation,Road,L,1018.7417500842894
2025-07-23,Removing trees,Building,m2,1801.583091099304
2025-12-27,Foundation pouring,Building,m3,4748.9943709779245
2025-12-09,Cement making,Building,m3,3125.6308272376423
2025-01-30,Coat preparation,Road,L,2259.3200223232457
2025-09-09,Ballast,Railway,m3,4709.597436232618
2025-12-14,Walling,Building,m2,692.4394559920421
2025-10-26,Rolling/Tractor,Road,m2,3440.593720096856
2025-02-16,Rolling/Tractor,Road,m2,143.28301231871953
2025-10-03,Subbase application,Road,m2,2310.3335309416807
2025-01-02,Iron mining,Railway,m3,145.83665646232814
2025-08-16,Anchorage,Railway,m2,3605.8342958184303
2025-06-25,Terrain leveling,Building,m3,1112.717564799176
2025-05-31,Subbase application,Road,m2,4657.116630082651
2025-06-04,Terrain leveling,Building,m3,2605.524862833781
2025-11-13,Cement making,Building,m3,473.6097771973502
2025-02-28,Pavement,Road,m2,767.826652617643
2025-09-23,Iron mining,Railway,m3,3369.5729109266385
2025-05-23,Laying steel rail,Railway,m,4255.227618857477
2025-05-02,Anchorage,Railway,m2,3981.0795115703163
2025-07-08,Terrain leveling,Building,m3,4639.130411659271
2025-10-05,Rolling/Tractor,Road,m2,4277.231941197019
2025-10-16,Rolling/Tractor,Road,m2,4992.757791000867
2025-02-25,Coat preparation,Road,L,1114.9197735173761
2025-05-29,Rolling/Tractor,Road,m2,249.30699580113404
2025-01-15,Rolling/Tractor,Road,m2,1162.605600586813
2025-06-11,Subbase application,Road,m2,1871.7131490465788
2025-01-05,Foundation pouring,Building,m3,1191.7092340932907
2025-06-04,Coat preparation,Road,L,1419.7202976217593
2025-08-08,Coat preparation,Road,L,3605.91109510557
2025-05-12,Removing trees,Building,m2,130.49517060371218
2025-08-07,Iron mining,Railway,m3,3935.2556432354318
2025-09-21,Subbase application,Road,m2,1640.940610543858
2025-11-16,Terrain leveling,Building,m3,883.7989012025427
2025-01-30,Walling,Building,m2,329.6158743950944
2025-04-28,Terrain leveling,Building,m3,391.6035487624686
2025-10-09,Pavement,Road,m2,3409.57020650755
2025-09-07,Rolling/Tractor,Road,m2,3293.394756903317
2025-08-31,Pavement,Road,m2,4185.643068986291
2025-09-27,Cement making,Building,m3,3250.7851114229807
2025-03-05,Iron mining,Railway,m3,4735.446393222699
2025-02-02,Terrain leveling,Building,m3,2160.655812216578
2025-07-11,Anchorage,Railway,m2,2476.262644274138
2025-10-09,Pavement,Road,m2,2641.4466514155984
2025-12-06,Pavement,Road,m2,2543.800136277134
2025-07-06,Terrain leveling,Building,m3,148.49204616332935
2025-01-16,Removing trees,Building,m2,895.8239728433454
2025-10-11,Pavement,Road,m2,930.2999444847687
2025-08-06,Cement making,Building,m3,436.206606992251
2025-08-04,Pavement,Road,m2,4305.29366978639
2025-08-05,Anchorage,Railway,m2,3964.364512434491
2025-11-29,Walling,Building,m2,492.9242272484979
2025-10-29,Terrain leveling,Building,m3,232.17273723872833
2025-08-18,Iron mining,Railway,m3,588.4543250389701
2025-10-06,Subbase application,Road,m2,3035.4930380815335
2025-01-13,Terrain leveling,Building,m3,1825.7576359087263
2025-06-30,Rolling/Tractor,Road,m2,2889.964015796064
2025-05-04,Terrain leveling,Building,m3,360.17422791869313
2025-02-14,Subbase application,Road,m2,2109.6440811989837
2025-03-10,Foundation pouring,Building,m3,741.1942981841685
2025-07-29,Terrain leveling,Building,m3,4800.78028441139
2025-07-18,Iron mining,Railway,m3,1584.2714609558939
2025-06-20,Terrain leveling,Building,m3,4539.099187533859
2025-06-17,Terrain leveling,Building,m3,2728.517734523786
2025-11-02,Terrain leveling,Building,m3,64.6485580144851
2025-01-27,Terrain leveling,Building,m3,152.92719497853713
2025-04-11,Foundation pouring,Building,m3,4809.802632375835
2025-05-12,Coat preparation,Road,L,4872.975772712276
2025-10-01,Foundation pouring,Building,m3,3189.4090085074586
2025-09-21,Rolling/Tractor,Road,m2,4941.234187874215
2025-07-29,Anchorage,Railway,m2,2402.3825594206314
2025-04-08,Iron mining,Railway,m3,1003.6188094619769
2025-10-25,Subbase application,Road,m2,4705.926948570535
2025-06-23,Pavement,Road,m2,3825.11268425885
2025-09-11,Ballast,Railway,m3,4270.921425572975
2025-09-02,Ballast,Railway,m3,3987.598429281516
2025-05-16,Removing trees,Building,m2,4463.172879817394
2025-05-17,Removing trees,Building,m2,2004.6066557625563
2025-12-14,Terrain leveling,Building,m3,3732.9024357798917
2025-12-01,Ballast,Railway,m3,304.4374452876547
2025-08-12,Coat preparation,Road,L,3856.069212988202
2025-07-28,Coat preparation,Road,L,3549.763883597642
2025-09-17,Iron mining,Railway,m3,1537.3906691501072
2025-01-18,Laying steel rail,Railway,m,1218.3585299886574
2025-11-02,Laying steel rail,Railway,m,3947.011044069143
2025-12-10,Anchorage,Railway,m2,2130.252009953415
2025-02-01,Laying steel rail,Railway,m,4570.891288832738
2025-01-01,Removing trees,Building,m2,2020.0755967663504
2025-08-31,Pavement,Road,m2,1368.7256539833065
2025-05-20,Anchorage,Railway,m2,2402.5570046035796
2025-02-18,Walling,Building,m2,4071.460656247256
2025-01-23,Rolling/Tractor,Road,m2,931.522640806785
2025-06-07,Foundation pouring,Building,m3,3041.6429789489534
2025-07-22,Ballast,Railway,m3,4510.055723320916
2025-05-19,Foundation pouring,Building,m3,3351.5259825155645
2025-09-22,Walling,Building,m2,2357.8177339889926
2025-01-25,Iron mining,Railway,m3,4103.208663863262
2025-03-29,Foundation pouring,Building,m3,601.4491831777835
2025-04-17,Pavement,Road,m2,4878.50726727496
2025-07-01,Foundation pouring,Building,m3,230.32471191330782
2025-02-07,Coat preparation,Road,L,1029.5755331028422
2025-10-19,Subbase application,Road,m2,4191.989932732318
2025-06-26,Coat preparation,Road,L,3129.7116553859614
2025-02-11,Anchorage,Railway,m2,1213.00310149562
2025-01-14,Ballast,Railway,m3,3731.872622545551
2025-04-05,Coat preparation,Road,L,579.6298645235476
2025-05-30,Rolling/Tractor,Road,m2,2924.1080076854646
2025-09-09,Walling,Building,m2,4541.2990316131445
2025-08-23,Pavement,Road,m2,1429.753271349556
2025-08-21,Ballast,Railway,m3,4384.662720403386
2025-09-14,Coat preparation,Road,L,2938.4717435729253
2025-01-18,Foundation pouring,Building,m3,228.65627300076684
2025-08-13,Cement making,Building,m3,2344.1849906196317
2025-11-09,Pavement,Road,m2,3606.6287657705184
2025-05-26,Cement making,Building,m3,839.0191060294705
2025-12-18,Foundation pouring,Building,m3,310.29407016476216
2025-07-11,Subbase application,Road,m2,1709.4499014558123
2025-04-15,Iron mining,Railway,m3,3386.1957778734986
2025-11-14,Iron mining,Railway,m3,4902.037770080123
2025-10-15,Anchorage,Railway,m2,3697.2191274433662
2025-01-04,Rolling/Tractor,Road,m2,1281.0841096891957
2025-05-14,Coat preparation,Road,L,1922.4247945650347
2025-09-08,Removing trees,Building,m2,2158.150474417124
2025-11-16,Walling,Building,m2,4085.50964073997
2025-11-29,Walling,Building,m2,1411.9900082833708
2025-05-08,Iron mining,Railway,m3,727.2749520241495
2025-04-07,Removing trees,Building,m2,4974.731800319304
2025-09-03,Coat preparation,Road,L,2206.7297003904405
2025-03-28,Ballast,Railway,m3,3883.2153665562637
2025-01-06,Rolling/Tractor,Road,m2,1599.398234442222
2025-09-26,Walling,Building,m2,1589.63073276844
2025-02-14,Subbase application,Road,m2,3514.902133054799
2025-09-08,Iron mining,Railway,m3,8.89883340582931
2025-08-17,Cement making,Building,m3,3368.2161795341603
2025-06-23,Laying steel rail,Railway,m,1426.7368665632257
2025-12-21,Foundation pouring,Building,m3,183.78928563097196
2025-01-12,Rolling/Tractor,Road,m2,4086.6415687601702
2025-12-21,Terrain leveling,Building,m3,2596.972177206352
2025-03-31,Subbase application,Road,m2,3060.0559324751057
2025-03-16,Laying steel rail,Railway,m,2035.3005076727165
2025-07-01,Cement making,Building,m3,2035.0707043621042
2025-04-13,Coat preparation,Road,L,4039.8918679887784
2025-04-10,Rolling/Tractor,Road,m2,1447.8486709771282
2025-04-10,Anchorage,Railway,m2,4735.664395829231
2025-02-16,Foundation pouring,Building,m3,4049.6190017684003
2025-02-27,Iron mining,Railway,m3,3723.78450730669
2025-04-11,Laying steel rail,Railway,m,1532.0165277917224
2025-05-07,Coat preparation,Road,L,280.5785888284551
2025-02-27,Pavement,Road,m2,3315.5522497696634
2025-04-28,Foundation pouring,Building,m3,68.36049080631234
2025-11-10,Cement making,Building,m3,2490.3006289155637
2025-10-09,Ballast,Railway,m3,4443.863876739753
2025-05-20,Foundation pouring,Building,m3,244.0352015968572
2025-12-08,Walling,Building,m2,1472.236083159214
2025-10-17,Removing trees,Building,m2,839.995597279094
2025-03-05,Laying steel rail,Railway,m,3486.2252634395195
2025-11-18,Terrain leveling,Building,m3,3342.532531833488
2025-08-20,Iron mining,Railway,m3,2273.0438954059314
2025-02-12,Terrain leveling,Building,m3,1221.7588776519806
2025-05-11,Iron mining,Railway,m3,3011.5388641874415
2025-05-14,Cement making,Building,m3,3695.100695467483
2025-02-01,Anchorage,Railway,m2,2940.2580967820545
2025-04-30,Laying steel rail,Railway,m,1040.7331243879448
2025-02-14,Anchorage,Railway,m2,417.65778887753066
2025-03-28,Rolling/Tractor,Road,m2,111.1346305990063
2025-12-13,Removing trees,Building,m2,4778.295650573832
2025-08-28,Terrain leveling,Building,m3,4209.5786044227125
2025-05-19,Subbase application,Road,m2,3917.045543038852
2025-05-16,Walling,Building,m2,1302.888620865335
2025-06-16,Laying steel rail,Railway,m,4305.142207785386
2025-09-19,Anchorage,Railway,m2,24.147961148257014
2025-09-14,Ballast,Railway,m3,599.6214935470945
2025-09-25,Anchorage,Railway,m2,4972.602338853999
2025-07-01,Walling,Building,m2,2828.204001128814
2025-11-18,Terrain leveling,Building,m3,707.4163445489152
2025-06-24,Coat preparation,Road,L,3476.017391539751
2025-12-24,Ballast,Railway,m3,1429.316599018513
2025-05-05,Subbase application,Road,m2,2564.2771408887706
2025-04-06,Subbase application,Road,m2,380.9141094448587
2025-01-01,Rolling/Tractor,Road,m2,2874.019694486954
2025-07-03,Foundation pouring,Building,m3,1313.475347187721
2025-04-11,Ballast,Railway,m3,1944.4734636496307
2025-04-12,Iron mining,Railway,m3,4165.292397485817
2025-11-28,Terrain leveling,Building,m3,964.2886956372704
2025-08-31,Foundation pouring,Building,m3,3184.1642888753067
2025-06-17,Iron mining,Railway,m3,4507.6368703757
2025-08-15,Ballast,Railway,m3,3772.782832085743
2025-12-28,Foundation pouring,Building,m3,4563.517451317234
2025-06-06,Terrain leveling,Building,m3,2119.3475839406346
2025-02-19,Subbase application,Road,m2,3017.2294136761207
2025-08-27,Iron mining,Railway,m3,334.1968567228454
2025-02-23,Terrain leveling,Building,m3,704.0144892927036
2025-12-21,Foundation pouring,Building,m3,93.71999177357205
2025-12-29,Iron mining,Railway,m3,3136.861733725463
2025-05-02,Ballast,Railway,m3,1301.744732199252
2025-09-14,Rolling/Tractor,Road,m2,1768.2628689888297
2025-09-06,Cement making,Building,m3,2731.8006366897607
2025-02-18,Laying steel rail,Railway,m,4168.587723742619
2025-02-24,Ballast,Railway,m3,1086.331725003355
2025-10-09,Removing trees,Building,m2,2265.3297112316604
2025-05-17,Cement making,Building,m3,85.65088771669782
2025-03-13,Terrain leveling,Building,m3,2995.7783056372346
2025-10-24,Walling,Building,m2,4624.127448238838
2025-03-09,Foundation pouring,Building,m3,2573.0703509697078
2025-08-14,Laying steel rail,Railway,m,1357.1088944069181
2025-11-04,Coat preparation,Road,L,1478.8352555188867
2025-01-21,Walling,Building,m2,4322.085330249433
2025-12-16,Foundation pouring,Building,m3,1185.8915047918272
2025-10-09,Iron mining,Railway,m3,4973.689565646018
2025-05-19,Ballast,Railway,m3,2127.20075304391
2025-02-27,Rolling/Tractor,Road,m2,3805.7190425651056
2025-10-18,Pavement,Road,m2,1192.4081369667672
2025-04-28,Walling,Building,m2,1135.3065115426082
2025-08-08,Walling,Building,m2,1915.0633771757437
2025-12-07,Subbase application,Road,m2,1584.8307313495552
2025-12-17,Cement making,Building,m3,3860.648978684062
2025-04-07,Coat preparation,Road,L,3875.731614888545
2025-06-14,Removing trees,Building,m2,4620.857900455784
2025-02-25,Removing trees,Building,m2,4164.01440726448
2025-06-04,Terrain leveling,Building,m3,2330.535830669626
2025-05-27,Walling,Building,m2,3828.2136899895745
2025-10-30,Laying steel rail,Railway,m,3052.0990799048695
2025-07-11,Cement making,Building,m3,1254.6426528139227
2025-06-27,Ballast,Railway,m3,1504.1833494987056
2025-08-23,Ballast,Railway,m3,1248.9378714924533
2025-03-10,Iron mining,Railway,m3,3967.2889870018835
2025-04-17,Iron mining,Railway,m3,593.6771121071083
2025-06-16,Terrain leveling,Building,m3,1284.1336928214425
2025-10-12,Laying steel rail,Railway,m,1435.0130134781607
2025-12-18,Iron mining,Railway,m3,425.57701954993644
2025-04-21,Walling,Building,m2,1442.0267608707331
2025-11-09,Removing trees,Building,m2,4337.963268060563
2025-09-20,Ballast,Railway,m3,1475.4337396962997
2025-12-08,Subbase application,Road,m2,3682.5534248432664
2025-09-28,Foundation pouring,Building,m3,4121.30913817303
2025-09-28,Coat preparation,Road,L,1564.7688463095888
2025-07-14,Walling,Building,m2,3293.9709834245946
2025-08-13,Foundation pouring,Building,m3,4606.99679650821
2025-11-24,Pavement,Road,m2,2952.75466516822
2025-05-01,Ballast,Railway,m3,3404.857542659284
2025-07-11,Iron mining,Railway,m3,3182.2019017063317
2025-07-06,Anchorage,Railway,m2,2918.5960129570635
2025-06-22,Foundation pouring,Building,m3,1685.6247590982348
2025-11-07,Cement making,Building,m3,3068.541397927082
2025-01-25,Iron mining,Railway,m3,2478.8994023391365
2025-12-12,Coat preparation,Road,L,1340.6082410662557
2025-08-13,Removing trees,Building,m2,3944.8991664608648
2025-12-19,Laying steel rail,Railway,m,3663.2505455463493
2025-11-09,Iron mining,Railway,m3,2728.759159647231
2025-05-07,Rolling/Tractor,Road,m2,1024.1136237707271
2025-01-28,Cement making,Building,m3,1389.1200076412724
2025-04-21,Subbase application,Road,m2,70.2550647040523
2025-03-16,Ballast,Railway,m3,1548.947395225585
2025-06-28,Removing trees,Building,m2,4331.969725134034
2025-09-11,Coat preparation,Road,L,4149.162203122047
2025-12-10,Rolling/Tractor,Road,m2,3263.1033725421325
2025-10-30,Walling,Building,m2,2546.2142071483813
2025-04-16,Pavement,Road,m2,1270.76589697946
2025-12-16,Terrain leveling,Building,m3,1717.3334307284792
2025-08-18,Laying steel rail,Railway,m,4569.45460165499
2025-12-07,Terrain leveling,Building,m3,3960.3215835525916
2025-10-02,Ballast,Railway,m3,1528.0222302881198
2025-03-22,Terrain leveling,Building,m3,2773.5905756550833
2025-03-08,Pavement,Road,m2,156.3046637868548
2025-05-07,Anchorage,Railway,m2,1261.2968136606933
2025-07-19,Laying steel rail,Railway,m,209.57346208178075
2025-12-18,Pavement,Road,m2,4471.789682437203
2025-06-19,Rolling/Tractor,Road,m2,1765.6751031287931
2025-11-24,Iron mining,Railway,m3,3698.5247924463456
2025-06-27,Walling,Building,m2,1978.523112754138
2025-09-05,Cement making,Building,m3,463.7724608384658
2025-09-01,Rolling/Tractor,Road,m2,3443.6538202027773
2025-08-26,Removing trees,Building,m2,3788.9557777596215
2025-08-23,Cement making,Building,m3,372.34864540490133
2025-07-09,Iron mining,Railway,m3,2412.7222168686208
2025-12-16,Foundation pouring,Building,m3,690.2468529647688
2025-11-12,Foundation pouring,Building,m3,1939.7095018334887
2025-05-12,Cement making,Building,m3,1618.6840461256002
2025-08-29,Terrain leveling,Building,m3,1939.6083418140208
2025-12-10,Rolling/Tractor,Road,m2,3110.822721622707
2025-05-31,Anchorage,Railway,m2,827.1157972532644
2025-06-18,Anchorage,Railway,m2,283.00102831486873
2025-12-09,Walling,Building,m2,3857.6667421282564
2025-03-29,Ballast,Railway,m3,4271.998150685494
2025-10-23,Removing trees,Building,m2,799.7385455992795
2025-05-31,Pavement,Road,m2,2562.855629586011
2025-03-02,Iron mining,Railway,m3,2179.7511911460633
2025-06-22,Anchorage,Railway,m2,3055.6369302657354
2025-12-10,Walling,Building,m2,3437.190053557653
2025-08-28,Foundation pouring,Building,m3,1993.5625516128368
2025-07-12,Rolling/Tractor,Road,m2,2732.0202445025698
2025-09-22,Iron mining,Railway,m3,4364.201912345165
2025-04-22,Iron mining,Railway,m3,479.5467735453729
2025-08-18,Foundation pouring,Building,m3,1749.1037757307847
2025-06-17,Foundation pouring,Building,m3,274.80785677962473
2025-12-19,Anchorage,Railway,m2,3559.022522768186
2025-07-22,Foundation pouring,Building,m3,4643.939887503914
2025-02-05,Removing trees,Building,m2,2609.775538640792
2025-06-18,Ballast,Railway,m3,3817.6593674651917
2025-07-16,Iron mining,Railway,m3,3510.1079889765956
2025-04-29,Pavement,Road,m2,2365.3979310986715
2025-05-23,Foundation pouring,Building,m3,1024.5203285029331
2025-08-04,Foundation pouring,Building,m3,1320.3969722135678
2025-12-06,Ballast,Railway,m3,601.9600187384239
2025-02-19,Coat preparation,Road,L,1238.2776562342556
2025-01-14,Coat preparation,Road,L,2521.0876987987604
2025-09-21,Subbase application,Road,m2,4195.710980197323
2025-04-10,Coat preparation,Road,L,1474.4053993806715
2025-09-29,Ballast,Railway,m3,1892.630657820129
2025-09-12,Foundation pouring,Building,m3,2011.1130625919677
2025-11-06,Cement making,Building,m3,2971.156793679883
2025-11-08,Rolling/Tractor,Road,m2,680.7918843196326
2025-06-05,Subbase application,Road,m2,216.6035895579116
2025-03-23,Coat preparation,Road,L,4299.897074214868
2025-07-17,Iron mining,Railway,m3,3129.5702476248866
2025-11-03,Coat preparation,Road,L,817.9599592271996
2025-01-25,Pavement,Road,m2,1231.4865558133608
2025-06-15,Subbase application,Road,m2,342.11688151063623
