Date,Activity,Activity type,Unit,Amount planned
2025-02-21,Anchorage,Railway,m2,3251.816209990563
2025-01-21,Anchorage,Railway,m2,2822.971408945509
2025-06-12,Cement making,Building,m3,3000.1908331672107
2025-12-04,Pavement,Road,m2,4287.090489423565
2025-05-17,Removing trees,Building,m2,4055.1351890035803
2025-03-29,Walling,Building,m2,3087.6711209308664
2025-08-14,Anchorage,Railway,m2,1616.1964313138533
2025-07-27,Subbase application,Road,m2,23.51391054576768
2025-08-14,Cement making,Building,m3,892.6235564156387
2025-03-03,Coat preparation,Road,L,925.7370645688628
2025-01-25,Rolling/Tractor,Road,m2,2026.433095765881
2025-07-17,Coat preparation,Road,L,2458.984705205888
2025-08-08,Rolling/Tractor,Road,m2,3953.8512902651414
2025-12-23,Subbase application,Road,m2,4641.876858162983
2025-02-13,Pavement,Road,m2,4029.456734771972
2025-09-14,Iron mining,Railway,m3,3759.295098888284
2025-03-27,Cement making,Building,m3,2604.7700881647575
2025-09-01,Removing trees,Building,m2,2024.9693695836518
2025-09-16,Removing trees,Building,m2,3147.2504103552083
2025-02-22,Pavement,Road,m2,4226.139522126023
2025-06-21,Walling,Building,m2,942.8000756161553
2025-03-01,Laying steel rail,Railway,m,2389.8879723663385
2025-12-14,Pavement,Road,m2,1715.4580828314924
2025-05-31,Rolling/Tractor,Road,m2,3859.509781680054
2025-09-08,Subbase application,Road,m2,4376.85390256362
2025-12-13,Ballast,Railway,m3,4774.838763404705
2025-10-24,Terrain leveling,Building,m3,3574.468301124417
2025-04-18,Iron mining,Railway,m3,1887.9662170612548
2025-08-26,Walling,Building,m2,3215.4221339736755
2025-07-03,Subbase application,Road,m2,2599.846005916831
2025-06-29,Rolling/Tractor,Road,m2,4909.413587944084
2025-07-21,Rolling/Tractor,Road,m2,3617.830759621549
2025-05-04,Pavement,Road,m2,2492.914919104453
2025-06-22,Subbase application,Road,m2,2362.5283009113623
2025-09-19,Pavement,Road,m2,2893.5952418208467
2025-10-21,Subbase application,Road,m2,207.22755850659746
2025-12-02,Foundation pouring,Building,m3,3480.2724057717214
2025-09-26,Walling,Building,m2,436.56277702028126
2025-10-11,Walling,Building,m2,3365.0399494155454
2025-01-20,Pavement,Road,m2,4944.529898008919
2025-01-27,Rolling/Tractor,Road,m2,1510.4307556468461
2025-01-25,Removing trees,Building,m2,2746.245823457225
2025-06-02,Foundation pouring,Building,m3,3809.8389795765465
2025-02-20,Cement making,Building,m3,4303.156939664785
2025-05-15,Subbase application,Road,m2,1902.5475348149862
2025-06-11,Foundation pouring,Building,m3,2017.313417901591
2025-03-09,Cement making,Building,m3,3438.617062111805
2025-02-07,Subbase application,Road,m2,3455.7941213131594
2025-04-24,Cement making,Building,m3,890.9615469026161
2025-03-19,Terrain leveling,Building,m3,1449.6954058500478
2025-08-16,Removing trees,Building,m2,3123.9209002672465
2025-04-25,Cement making,Building,m3,4060.9953279421898
2025-08-17,Walling,Building,m2,1555.6844167850054
2025-05-26,Anchorage,Railway,m2,2022.1332809140629
2025-12-28,Laying steel rail,Railway,m,4416.517280781454
2025-01-08,Rolling/Tractor,Road,m2,1983.7574785412426
2025-12-24,Subbase application,Road,m2,810.7874176607688
2025-12-26,Terrain leveling,Building,m3,3221.5992608887555
2025-07-25,Iron mining,Railway,m3,3777.530271244775
2025-03-30,Anchorage,Railway,m2,4179.041035516789
2025-02-20,Subbase application,Road,m2,2535.3725858338844
2025-05-21,Cement making,Building,m3,3792.2138150239075
2025-08-09,Removing trees,Building,m2,551.0471164716923
2025-10-07,Coat preparation,Road,L,2253.3418719198735
2025-08-16,Rolling/Tractor,Road,m2,3928.882192823443
2025-09-27,Pavement,Road,m2,118.86465443226135
2025-04-02,Terrain leveling,Building,m3,58.264835270419034
2025-06-24,Rolling/Tractor,Road,m2,224.30502459077627
2025-09-10,Ballast,Railway,m3,2138.3254090071223
2025-07-31,Subbase application,Road,m2,99.98918099010545
2025-01-30,Pavement,Road,m2,1519.4460227861473
2025-04-27,Terrain leveling,Building,m3,722.000401173497
2025-01-01,Foundation pouring,Building,m3,1139.5678390198655
2025-10-22,Ballast,Railway,m3,4821.989955566378
2025-02-14,Rolling/Tractor,Road,m2,4303.89858566191
2025-10-28,Walling,Building,m2,2317.8663422120253
2025-10-15,Walling,Building,m2,4758.152990700945
2025-12-28,Laying steel rail,Railway,m,4024.509713523012
2025-03-17,Anchorage,Railway,m2,270.88545824338286
2025-05-28,Removing trees,Building,m2,828.4578903410717
2025-11-13,Pavement,Road,m2,587.1921395350311
2025-10-28,Removing trees,Building,m2,4241.302847474491
2025-04-24,Anchorage,Railway,m2,4695.823010217024
2025-05-23,Anchorage,Railway,m2,4321.020435529894
2025-07-13,Walling,Building,m2,1400.6814216195628
2025-07-22,Iron mining,Railway,m3,615.6938124773792
2025-04-23,Terrain leveling,Building,m3,3476.3124727026275
2025-04-27,Ballast,Railway,m3,146.5411710458253
2025-10-19,Removing trees,Building,m2,470.17465611366435
2025-05-16,Laying steel rail,Railway,m,4722.625233360214
2025-12-11,Iron mining,Railway,m3,4981.504086789681
2025-11-27,Rolling/Tractor,Road,m2,2643.3151286340913
2025-02-11,Anchorage,Railway,m2,4971.060566632602
2025-11-12,Anchorage,Railway,m2,1281.053291028977
2025-06-18,Iron mining,Railway,m3,1045.980966862628
2025-10-23,Walling,Building,m2,2190.193800921221
2025-02-20,Laying steel rail,Railway,m,2411.7634421232824
2025-01-19,Ballast,Railway,m3,1410.9573042341628
2025-03-11,Ballast,Railway,m3,3215.798896642868
2025-06-27,Foundation pouring,Building,m3,43.567794153064334
2025-02-25,Anchorage,Railway,m2,3735.0063298497394
2025-09-03,Anchorage,Railway,m2,4078.4863333408034
2025-11-14,Subbase application,Road,m2,2429.514612029842
2025-04-05,Pavement,Road,m2,3865.768647924112
2025-07-16,Anchorage,Railway,m2,3424.8476723956273
2025-04-05,Cement making,Building,m3,580.7767557762588
2025-12-28,Pavement,Road,m2,2860.9757403290632
2025-02-05,Walling,Building,m2,1044.9561538277385
2025-05-04,Pavement,Road,m2,1606.5193305424702
2025-07-30,Foundation pouring,Building,m3,4348.729550642288
2025-07-11,Rolling/Tractor,Road,m2,3663.3461810367053
2025-08-14,Terrain leveling,Building,m3,817.6915663751028
2025-09-19,Anchorage,Railway,m2,748.168765988988
2025-03-27,Cement making,Building,m3,4991.5441682225
2025-09-23,Removing trees,Building,m2,835.2826280508846
2025-05-30,Pavement,Road,m2,1835.2788861931729
2025-03-21,Cement making,Building,m3,164.4242518493838
2025-07-29,Removing trees,Building,m2,1371.0660821951865
2025-06-08,Anchorage,Railway,m2,380.3746325500751
2025-11-22,Pavement,Road,m2,4163.590973814503
2025-04-06,Rolling/Tractor,Road,m2,81.27423586811067
2025-02-03,Anchorage,Railway,m2,3577.0102012114958
2025-03-08,Ballast,Railway,m3,3349.905458802347
2025-11-14,Pavement,Road,m2,3773.477469755587
2025-02-04,Walling,Building,m2,3550.073993816177
2025-05-28,Iron mining,Railway,m3,2975.880894793453
2025-01-14,Subbase application,Road,m2,3246.6863015254085
2025-01-25,Foundation pouring,Building,m3,3364.986517260984
2025-08-31,Removing trees,Building,m2,3995.5579220784043
2025-12-24,Subbase application,Road,m2,3026.9183370015844
2025-07-26,Walling,Building,m2,1624.1621386008264
2025-02-02,Walling,Building,m2,873.5144339689522
2025-04-18,Rolling/Tractor,Road,m2,3648.562482924838
2025-10-26,Iron mining,Railway,m3,1297.6578058321024
2025-07-31,Foundation pouring,Building,m3,3540.1824693693584
2025-10-06,Laying steel rail,Railway,m,1229.629812569088
2025-12-24,Laying steel rail,Railway,m,3548.730432629208
2025-08-15,Iron mining,Railway,m3,69.69535947389028
2025-07-23,Ballast,Railway,m3,818.7750324443405
2025-11-14,Anchorage,Railway,m2,2886.701271790825
2025-05-07,Laying steel rail,Railway,m,4205.788816800007
2025-04-03,Subbase application,Road,m2,4102.013220641339
2025-08-01,Rolling/Tractor,Road,m2,2835.957543150874
2025-02-18,Coat preparation,Road,L,3291.5926433939694
2025-09-17,Terrain leveling,Building,m3,2380.0639329505602
2025-09-24,Ballast,Railway,m3,4514.725053218555
2025-07-03,Cement making,Building,m3,1777.0652808422988
2025-08-08,Ballast,Railway,m3,1853.5693607293952
2025-10-24,Iron mining,Railway,m3,3783.7173785579253
2025-06-25,Ballast,Railway,m3,2370.357868118414
2025-09-01,Coat preparation,Road,L,2013.2709742402506
2025-08-06,Coat preparation,Road,L,65.19504466597104
2025-10-24,Anchorage,Railway,m2,3813.7538042866413
2025-03-09,Anchorage,Railway,m2,4362.797868913056
2025-04-05,Coat preparation,Road,L,1413.9141695220685
2025-09-07,Anchorage,Railway,m2,1246.3790460594632
2025-10-15,Ballast,Railway,m3,3706.1781268549826
2025-04-12,Coat preparation,Road,L,1075.782680193485
2025-05-08,Iron mining,Railway,m3,1048.9582260504133
2025-07-31,Pavement,Road,m2,1918.8678747724591
2025-01-05,Terrain leveling,Building,m3,2747.7421687070873
2025-12-03,Subbase application,Road,m2,543.3312569788773
2025-05-29,Foundation pouring,Building,m3,3842.333183261453
2025-04-15,Ballast,Railway,m3,3073.3586312444904
2025-04-24,Laying steel rail,Railway,m,3397.549274662594
2025-02-28,Coat preparation,Road,L,1333.7616265309516
2025-08-15,Removing trees,Building,m2,2312.1220213618203
2025-04-30,Cement making,Building,m3,2565.042264096616
2025-09-17,Anchorage,Railway,m2,355.3470304451534
2025-11-30,Rolling/Tractor,Road,m2,86.95255890868614
2025-09-21,Ballast,Railway,m3,577.4890872894244
2025-08-22,Foundation pouring,Building,m3,4565.768913530193
2025-03-27,Walling,Building,m2,1766.6679411828272
2025-09-06,Removing trees,Building,m2,3361.264110976765
2025-05-22,Foundation pouring,Building,m3,1324.9505572626813
2025-05-09,Foundation pouring,Building,m3,3412.161922468014
2025-04-03,Coat preparation,Road,L,877.0392372761993
2025-09-15,Removing trees,Building,m2,2792.0403875960733
2025-03-01,Cement making,Building,m3,4408.024959400046
2025-07-31,Coat preparation,Road,L,2318.885568540338
2025-04-22,Iron mining,Railway,m3,4538.310580149563
2025-12-12,Anchorage,Railway,m2,927.8732056731565
2025-02-04,Laying steel rail,Railway,m,204.503880932973
2025-04-05,Ballast,Railway,m3,2274.909910863723
2025-04-24,Rolling/Tractor,Road,m2,1029.7133585783579
2025-05-03,Laying steel rail,Railway,m,2693.817317382575
2025-09-28,Coat preparation,Road,L,2774.5231809458032
2025-02-10,Removing trees,Building,m2,3007.9937924944434
2025-06-10,Removing trees,Building,m2,3684.5891042057538
2025-03-24,Subbase application,Road,m2,4232.500652970658
2025-02-01,Foundation pouring,Building,m3,250.31358693492933
2025-11-07,Coat preparation,Road,L,1188.744481557354
2025-08-11,Iron mining,Railway,m3,3810.7938269721008
2025-09-18,Ballast,Railway,m3,1894.586499645695
2025-02-17,Walling,Building,m2,2744.9532097533274
2025-02-24,Terrain leveling,Building,m3,1050.489778305108
2025-06-25,Subbase application,Road,m2,1358.604024313822
2025-11-08,Subbase application,Road,m2,4389.295022817562
2025-07-29,Removing trees,Building,m2,1392.639823206207
2025-11-07,Iron mining,Railway,m3,4324.838535034126
2025-05-15,Rolling/Tractor,Road,m2,4724.522402927647
2025-09-13,Walling,Building,m2,563.7087126800144
2025-09-26,Iron mining,Railway,m3,926.94794520646
2025-10-20,Cement making,Building,m3,4835.18041668953
2025-12-14,Subbase application,Road,m2,1982.7010081774904
2025-11-24,Foundation pouring,Building,m3,3956.334440044427
2025-04-04,Walling,Building,m2,2466.2276744274586
2025-08-12,Terrain leveling,Building,m3,3251.5147274190635
2025-01-14,Coat preparation,Road,L,4707.768719018866
2025-06-06,Terrain leveling,Building,m3,3165.9104127854525
2025-09-01,Foundation pouring,Building,m3,2906.7519183215713
2025-09-29,Pavement,Road,m2,4389.877698450995
2025-07-20,Coat preparation,Road,L,2393.6722883908014
2025-02-16,Rolling/Tractor,Road,m2,4190.69941240702
2025-11-18,Subbase application,Road,m2,2524.4086608469584
2025-08-21,Walling,Building,m2,3038.2714845415558
2025-04-19,Foundation pouring,Building,m3,282.7085848552263
2025-09-20,Subbase application,Road,m2,2226.5190345444526
2025-11-10,Removing trees,Building,m2,3054.6863464058765
2025-08-03,Removing trees,Building,m2,4608.380065881669
2025-05-26,Pavement,Road,m2,1197.2476479119941
2025-04-28,Walling,Building,m2,963.5185521627066
2025-06-06,Anchorage,Railway,m2,4658.38990552174
2025-10-31,Pavement,Road,m2,3948.4927386943564
2025-05-30,Cement making,Building,m3,2713.714230809101
2025-07-27,Laying steel rail,Railway,m,2192.217634571168
2025-03-07,Foundation pouring,Building,m3,1786.9739498475446
2025-05-05,Laying steel rail,Railway,m,4407.933948439907
2025-05-03,Terrain leveling,Building,m3,4734.219282051507
2025-01-19,Ballast,Railway,m3,2518.5813436862686
2025-08-04,Rolling/Tractor,Road,m2,36.575031677267276
2025-10-03,Pavement,Road,m2,4716.9360109108975
2025-04-19,Coat preparation,Road,L,4195.799122660346
2025-01-17,Anchorage,Railway,m2,2195.9138973686304
2025-05-18,Rolling/Tractor,Road,m2,3623.7666707302797
2025-04-18,Laying steel rail,Railway,m,3438.270971655964
2025-09-23,Terrain leveling,Building,m3,3310.5435136853503
2025-04-20,Anchorage,Railway,m2,3508.1108616588676
2025-10-10,Rolling/Tractor,Road,m2,1128.7608705141217
2025-04-23,Foundation pouring,Building,m3,4658.091319542876
2025-01-14,Subbase application,Road,m2,351.962307586427
2025-02-03,Ballast,Railway,m3,2784.316305382129
2025-03-05,Laying steel rail,Railway,m,633.2215377540696
2025-12-23,Foundation pouring,Building,m3,4213.313217602583
2025-08-02,Coat preparation,Road,L,2593.762506043106
2025-09-06,Coat preparation,Road,L,989.2921197051579
2025-11-03,Rolling/Tractor,Road,m2,4330.052588300502
2025-08-20,Ballast,Railway,m3,3101.506394778752
2025-08-03,Pavement,Road,m2,4566.774811861268
2025-02-07,Walling,Building,m2,2916.8115605622056
2025-10-24,Walling,Building,m2,2101.46748187865
2025-01-06,Iron mining,Railway,m3,3786.640796538513
2025-12-24,Foundation pouring,Building,m3,1328.0921162785758
2025-02-06,Removing trees,Building,m2,4315.147799172284
2025-03-13,Ballast,Railway,m3,3449.3431384712662
2025-03-18,Pavement,Road,m2,900.169823068353
2025-12-22,Cement making,Building,m3,933.5526409092076
2025-03-23,Laying steel rail,Railway,m,4794.237437882915
2025-11-28,Rolling/Tractor,Road,m2,2518.306596284933
2025-12-06,Rolling/Tractor,Road,m2,341.81496487821425
